program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,P,M,KC,MC,ROW_BLOCK,COL_BLOCK,ALIGNMENT,exe_time,blas_exe_time,f_norm
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,120,6,16,64,36.222858,22.277569,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,120,6,16,64,36.313099,22.310647,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,120,6,16,64,36.000293,22.326127,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.852081,22.262974,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.859803,22.266937,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.878535,22.253029,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.065026,0.074439,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.064841,0.062043,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.064888,0.062679,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.783190,1.220811,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.785304,1.227117,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.783444,1.223969,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.855907,22.394780,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.867873,22.442502,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,35.851364,22.347873,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.508423,22.329341,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.475267,22.208035,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.543447,22.177670,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,120,240,6,16,64,0.066341,0.073251,2.599383736895e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,120,240,6,16,64,0.066755,0.062174,2.599383736895e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,120,240,6,16,64,0.066206,0.062371,2.599383736895e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,120,240,6,16,64,2.071906,1.207902,1.892903994096e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,120,240,6,16,64,2.073445,1.227435,1.892903994096e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,120,240,6,16,64,2.073970,1.221755,1.892903994096e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,120,240,6,16,64,41.193904,22.348516,2.380006391011e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,120,240,6,16,64,41.170545,22.402272,2.380006391011e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,120,240,6,16,64,41.236818,22.398726,2.380006391011e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,480,6,16,64,0.129643,0.107479,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,480,6,16,64,0.129429,0.094323,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,480,6,16,64,0.130002,0.094168,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,480,6,16,64,3.671156,2.076170,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,480,6,16,64,3.667934,2.091320,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,480,6,16,64,3.667033,2.083103,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.512028,22.330045,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.483095,22.313336,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,480,6,16,64,39.483021,22.193249,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.063126,0.077012,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.064979,0.062741,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,1200,1200,1200,240,240,6,16,64,0.064542,0.066651,2.659299758319e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.778276,1.205043,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.779925,1.221086,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,3600,3600,3600,240,240,6,16,64,1.779501,1.228136,1.795840225541e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,240,6,16,64,0.110600,0.105920,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,240,6,16,64,0.110892,0.094584,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,1440,1440,1440,240,240,6,16,64,0.110546,0.094127,2.356178344662e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,240,6,16,64,3.080795,2.069557,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,240,6,16,64,3.079939,2.084266,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,4320,4320,4320,240,240,6,16,64,3.080383,2.088634,1.831338631281e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,34.677233,22.323777,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,34.705700,22.346922,1.987006986294e-16
"avx-serial-divisible",1,1,1,-1,9600,9600,9600,240,240,6,16,64,34.652256,22.304161,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,512,0.007536,0.187550,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,512,0.004348,0.019972,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,512,0.004125,0.019594,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,512,0.098830,0.076135,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,512,0.097869,0.078727,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,512,0.100031,0.076733,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,512,0.006358,0.021148,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,512,0.006405,0.021195,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,512,0.006727,0.022625,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,512,0.168444,0.117133,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,512,0.168251,0.118561,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,512,0.169987,0.119567,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,512,1.129253,0.732339,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,512,1.129493,0.730751,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,512,1.123809,0.728468,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,512,1.653051,1.075037,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,512,1.652790,1.075708,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,512,1.651984,1.059954,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,64,0.004207,0.139591,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,64,0.004191,0.019504,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,6,16,64,0.004110,0.019664,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,64,0.098482,0.075850,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,64,0.098989,0.075658,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,64,0.102394,0.076521,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.011817,0.025687,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.006686,0.021588,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.006725,0.021555,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.170962,0.119269,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.171089,0.120386,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.170938,0.117560,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.129607,0.730724,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.137699,0.730921,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.137195,0.723816,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.667190,1.071988,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.669597,1.082697,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.661947,1.079631,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004130,0.141908,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004078,0.019966,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004108,0.019263,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.092402,0.075796,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.093922,0.075921,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.094208,0.076281,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006504,0.021366,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006333,0.021601,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006485,0.021943,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.165706,0.119708,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.168184,0.117973,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.165158,0.122645,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.134086,0.732690,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.120076,0.729269,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.137627,0.730421,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.682104,1.074147,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.683500,1.067531,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.682375,1.086253,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004693,0.134486,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004685,0.020827,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004812,0.020624,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119907,0.076182,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119091,0.075959,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119001,0.077738,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.007838,0.021230,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.008002,0.021114,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.007997,0.021618,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.214910,0.117699,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.214112,0.117766,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.213782,0.119728,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.368563,0.729426,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.367288,0.729996,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.368218,0.727839,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.118819,1.079678,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.127129,1.079565,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.120875,1.068084,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,480,6,16,64,0.007293,0.154329,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,480,6,16,64,0.007278,0.021720,2.356178344662e-16
